,Board Size,Total time (s),"""Total cost",Nodes expanded,Moves to solve,Branching factor,n_attacks,sideway_limits
137,6,8.328892946243286,112,13041,4,6.653684117731829,0,2
138,6,0.8119769096374512,522,1276,5,3.293379509129533,0,3
139,6,0.24107694625854492,404,285,7,2.0270086757077235,0,4
140,6,10.000210762023926,0,12530,0,12530.0,7,0
141,6,3.9014651775360107,60,4008,4,5.2551551520876165,0,1
142,6,0.5637221336364746,16,875,3,5.438786529686386,0,2
143,6,0.0177919864654541,375,24,5,1.6983813295649528,0,3
144,6,0.1640009880065918,263,219,5,2.455127320557885,0,4
145,6,10.000365972518921,147,12285,1,110.83771921146699,5,0
146,6,10.000279188156128,256,14915,1,122.12698309546502,6,1
147,6,0.08192634582519531,71,128,3,3.363585661014858,0,2
148,6,0.5063157081604004,90,806,3,5.328239778121549,0,3
149,6,0.10449409484863281,195,168,4,2.78651802273122,0,4
150,7,10.00038194656372,18,7662,1,87.5328509760764,9,0
151,7,10.000339984893799,2,6432,1,80.19975062305369,6,1
152,7,0.17244720458984375,244,168,4,2.78651802273122,0,2
153,7,2.5971407890319824,366,2500,5,3.6840314986403864,0,3
154,7,0.1881258487701416,118,182,3,3.672973939906468,0,4
155,7,10.000311613082886,0,7735,0,7735.0,3,0
156,7,10.000613927841187,8,9302,2,21.030944553099374,5,1
157,7,0.9022767543792725,348,653,4,3.6558017487703336,0,2
158,7,0.4984171390533447,278,462,3,4.6361821858297025,0,3
159,7,0.25350308418273926,48,242,3,3.9441537984850497,0,4
160,7,10.00075078010559,0,7823,0,7823.0,7,0
161,7,10.000401973724365,0,9348,0,9348.0,7,1
162,7,10.00063705444336,392,9629,2,21.274550633216926,8,2
163,7,8.14229702949524,164,7872,5,4.460129968181909,0,3
164,7,3.849841833114624,145,3715,6,3.235892734284994,0,4
165,7,0.07041525840759277,536,51,2,3.708429769266189,0,0
166,7,0.2535712718963623,484,238,3,3.92775363541828,0,1
167,7,2.153499126434326,456,2073,4,4.60595680093696,0,2
168,7,0.07455086708068848,216,41,2,3.4482172403827303,0,3
169,7,0.5842187404632568,592,563,4,3.548964694594351,0,4
170,7,10.000158071517944,18,7839,1,88.53812738024223,5,0
171,7,10.000370025634766,81,9403,1,96.96906723280368,6,1
172,7,7.750735759735107,252,7461,4,5.950581503687573,0,2
173,7,0.6223759651184082,232,591,4,3.583583235026441,0,3
174,7,2.7840890884399414,607,2623,4,4.8279154756793945,0,4
